"predict","no","yes"
"no",0.8073189497091159,0.19268105029088411
"no",0.6710033389384022,0.3289966610615977
"no",0.7251921054928236,0.2748078945071763
"no",0.8840001005207727,0.11599989947922729
"yes",0.2455016302460128,0.7544983697539872
"no",0.8865546435402648,0.11344535645973519
"yes",0.4237726520500926,0.5762273479499074
"no",0.8688879817088483,0.1311120182911517
"yes",0.2887780549117739,0.7112219450882261
"no",0.9275452689284004,0.07245473107159957
"no",0.9069123301660745,0.09308766983392545
"no",0.716180854400481,0.28381914559951904
"yes",0.060149244440354965,0.939850755559645
"no",0.7936968665257462,0.20630313347425375
"yes",0.12894095896066193,0.8710590410393381
"yes",0.11391117211985413,0.8860888278801459
"no",0.9407851166005479,0.05921488339945209
"no",0.8870841854946655,0.11291581450533453
"yes",0.5120683259739589,0.48793167402604104
"yes",0.4919388638180635,0.5080611361819365
"no",0.84898041646159,0.15101958353841
"yes",0.2641534697138802,0.7358465302861198
"yes",0.12165788585574122,0.8783421141442588
"yes",0.6521722633744618,0.3478277366255382
"yes",0.26675594704367056,0.7332440529563294
"no",0.9158810346776967,0.08411896532230331
"yes",0.060149244440354965,0.939850755559645
"no",0.8968115928839837,0.10318840711601626
"yes",0.4742247871932024,0.5257752128067976
"no",0.886455815535424,0.11354418446457606
"no",0.8442888394562,0.1557111605437999
"no",0.8416881655828626,0.15831183441713734
"yes",0.38884637461487637,0.6111536253851236
"no",0.8311654374930104,0.16883456250698953
"yes",0.3569495447973049,0.6430504552026951
"no",0.8941635255236606,0.10583647447633938
"no",0.8714341981111757,0.1285658018888243
"no",0.9136100487919079,0.08638995120809208
"no",0.9059900605327839,0.09400993946721618
"yes",0.3368976181668394,0.6631023818331606
"no",0.9234792614531829,0.07652073854681707
"yes",0.19817148064572332,0.8018285193542767
"no",0.9295192021511194,0.07048079784888056
"yes",0.2217381301476239,0.7782618698523761
"yes",0.06675932410256114,0.9332406758974389
"no",0.8820502613390144,0.11794973866098553
"yes",0.39837273324263234,0.6016272667573677
"no",0.8269402628315308,0.1730597371684692
"yes",0.060149244440354965,0.939850755559645
"yes",0.5867855036775844,0.4132144963224155
"yes",0.6484044628575454,0.35159553714245456
"no",0.9256979905061412,0.07430200949385879
"yes",0.07390928144158637,0.9260907185584136
"yes",0.05868181350179258,0.9413181864982074
"no",0.9340905916663095,0.06590940833369054
"no",0.9121019595018639,0.08789804049813608
"no",0.8797862351518081,0.12021376484819188
"no",0.8987330790558586,0.10126692094414137
